invoice_no,invoice_date,customer_id,country,quantity,unit_price,revenue
489438,01-12-2009,18102,"United Kingdom",28,0.98,27.44
489438,01-12-2009,18102,"United Kingdom",30,1.69,50.7
489438,01-12-2009,18102,"United Kingdom",30,1.15,34.5
489438,01-12-2009,18102,"United Kingdom",30,2,60
489438,01-12-2009,18102,"United Kingdom",60,1.3,78
489438,01-12-2009,18102,"United Kingdom",32,2.5,80
489438,01-12-2009,18102,"United Kingdom",32,2.5,80
489438,01-12-2009,18102,"United Kingdom",56,3,168
489438,01-12-2009,18102,"United Kingdom",56,3,168
489438,01-12-2009,18102,"United Kingdom",60,1.9,114
489438,01-12-2009,18102,"United Kingdom",56,1.9,106.4
489438,01-12-2009,18102,"United Kingdom",56,2.15,120.4
489438,01-12-2009,18102,"United Kingdom",60,2.4,144
489438,01-12-2009,18102,"United Kingdom",60,6.38,382.8
489438,01-12-2009,18102,"United Kingdom",60,6.4,384
489438,01-12-2009,18102,"United Kingdom",60,2.4,144
489438,01-12-2009,18102,"United Kingdom",60,2.4,144
489439,01-12-2009,12682,"France",12,1.45,17.4
489439,01-12-2009,12682,"France",9,4.95,44.55
489439,01-12-2009,12682,"France",9,4.95,44.55
489439,01-12-2009,12682,"France",12,2.55,30.6
489439,01-12-2009,12682,"France",3,5.95,17.85
489439,01-12-2009,12682,"France",3,5.95,17.85
489439,01-12-2009,12682,"France",25,0.42,10.5
489439,01-12-2009,12682,"France",25,0.42,10.5
489439,01-12-2009,12682,"France",6,1.95,11.7
489439,01-12-2009,12682,"France",8,1.65,13.2
489439,01-12-2009,12682,"France",12,0.65,7.8
489439,01-12-2009,12682,"France",12,0.85,10.2
489439,01-12-2009,12682,"France",24,0.85,20.4
489439,01-12-2009,12682,"France",12,1.65,19.8
489439,01-12-2009,12682,"France",24,1.65,39.6
489439,01-12-2009,12682,"France",6,4.95,29.7
489439,01-12-2009,12682,"France",12,0.85,10.2
489439,01-12-2009,12682,"France",2,7.95,15.9
489439,01-12-2009,12682,"France",3,18,54
489440,01-12-2009,18087,"United Kingdom",8,2.55,20.4
489440,01-12-2009,18087,"United Kingdom",8,3.75,30
489441,01-12-2009,18087,"United Kingdom",12,0.72,8.64
489441,01-12-2009,18087,"United Kingdom",6,4.25,25.5
489441,01-12-2009,18087,"United Kingdom",36,2.95,106.2
489441,01-12-2009,18087,"United Kingdom",48,4.25,204
489442,01-12-2009,13635,"United Kingdom",2,6.75,13.5
489442,01-12-2009,13635,"United Kingdom",3,4.95,14.85
489442,01-12-2009,13635,"United Kingdom",12,1.65,19.8
489442,01-12-2009,13635,"United Kingdom",12,1.25,15
489442,01-12-2009,13635,"United Kingdom",6,2.95,17.7
489442,01-12-2009,13635,"United Kingdom",6,2.95,17.7
489442,01-12-2009,13635,"United Kingdom",6,2.95,17.7
489442,01-12-2009,13635,"United Kingdom",20,1.65,33
489442,01-12-2009,13635,"United Kingdom",12,2.55,30.6
489442,01-12-2009,13635,"United Kingdom",48,1.25,60
489442,01-12-2009,13635,"United Kingdom",12,1.25,15
489442,01-12-2009,13635,"United Kingdom",12,0.42,5.04
489442,01-12-2009,13635,"United Kingdom",12,0.42,5.04
489442,01-12-2009,13635,"United Kingdom",12,0.42,5.04
489442,01-12-2009,13635,"United Kingdom",12,0.42,5.04
489442,01-12-2009,13635,"United Kingdom",12,0.42,5.04
489442,01-12-2009,13635,"United Kingdom",12,0.42,5.04
489442,01-12-2009,13635,"United Kingdom",4,4.25,17
489442,01-12-2009,13635,"United Kingdom",4,3.75,15
489442,01-12-2009,13635,"United Kingdom",24,0.42,10.08
489442,01-12-2009,13635,"United Kingdom",12,0.85,10.2
489442,01-12-2009,13635,"United Kingdom",8,3.75,30
489442,01-12-2009,13635,"United Kingdom",12,1.25,15
489443,01-12-2009,14110,"United Kingdom",6,2.1,12.6
489443,01-12-2009,14110,"United Kingdom",12,2.95,35.4
489443,01-12-2009,14110,"United Kingdom",48,2.1,100.8
489443,01-12-2009,14110,"United Kingdom",24,3.39,81.36
489443,01-12-2009,14110,"United Kingdom",12,0.55,6.6
489443,01-12-2009,14110,"United Kingdom",12,2.55,30.6
489443,01-12-2009,14110,"United Kingdom",6,2.95,17.7
489444,01-12-2009,12636,"USA",1,141,141
489445,01-12-2009,17519,"United Kingdom",12,0.85,10.2
489445,01-12-2009,17519,"United Kingdom",12,0.85,10.2
489445,01-12-2009,17519,"United Kingdom",24,0.85,20.4
489445,01-12-2009,17519,"United Kingdom",12,0.85,10.2
489445,01-12-2009,17519,"United Kingdom",2,9.95,19.9
489445,01-12-2009,17519,"United Kingdom",12,1.25,15
489445,01-12-2009,17519,"United Kingdom",6,2.95,17.7
489445,01-12-2009,17519,"United Kingdom",48,0.38,18.24
489445,01-12-2009,17519,"United Kingdom",12,1.25,15
489445,01-12-2009,17519,"United Kingdom",12,1.45,17.4
489445,01-12-2009,17519,"United Kingdom",24,0.85,20.4
489445,01-12-2009,17519,"United Kingdom",6,2.55,15.3
489445,01-12-2009,17519,"United Kingdom",3,4.95,14.85
489445,01-12-2009,17519,"United Kingdom",1,12.75,12.75
489445,01-12-2009,17519,"United Kingdom",24,0.65,15.6
489445,01-12-2009,17519,"United Kingdom",24,0.65,15.6
489445,01-12-2009,17519,"United Kingdom",10,1.95,19.5
489445,01-12-2009,17519,"United Kingdom",24,1.25,30
489445,01-12-2009,17519,"United Kingdom",12,0.85,10.2
489446,01-12-2009,13758,"United Kingdom",32,2.55,81.6
489446,01-12-2009,13758,"United Kingdom",32,2.55,81.6
489446,01-12-2009,13758,"United Kingdom",12,1.25,15
489446,01-12-2009,13758,"United Kingdom",12,5.95,71.4
489446,01-12-2009,13758,"United Kingdom",12,1.25,15
489446,01-12-2009,13758,"United Kingdom",12,2.95,35.4
489446,01-12-2009,13758,"United Kingdom",6,4.95,29.7
489446,01-12-2009,13758,"United Kingdom",12,4.95,59.4
489446,01-12-2009,13758,"United Kingdom",24,1.25,30
489446,01-12-2009,13758,"United Kingdom",4,4.25,17
489446,01-12-2009,13758,"United Kingdom",24,2.95,70.8
489446,01-12-2009,13758,"United Kingdom",12,3.95,47.4
489446,01-12-2009,13758,"United Kingdom",12,4.95,59.4
489446,01-12-2009,13758,"United Kingdom",10,1.95,19.5
489446,01-12-2009,13758,"United Kingdom",10,1.95,19.5
489446,01-12-2009,13758,"United Kingdom",20,1.95,39
489446,01-12-2009,13758,"United Kingdom",10,0.85,8.5
489446,01-12-2009,13758,"United Kingdom",10,0.85,8.5
489446,01-12-2009,13758,"United Kingdom",24,1.25,30
489446,01-12-2009,13758,"United Kingdom",24,1.25,30
489446,01-12-2009,13758,"United Kingdom",10,1.65,16.5
489446,01-12-2009,13758,"United Kingdom",10,1.65,16.5
489446,01-12-2009,13758,"United Kingdom",10,1.65,16.5
489446,01-12-2009,13758,"United Kingdom",12,2.1,25.2
489446,01-12-2009,13758,"United Kingdom",12,8.95,107.4
489446,01-12-2009,13758,"United Kingdom",12,1.65,19.8
489446,01-12-2009,13758,"United Kingdom",2,12.75,25.5
489447,01-12-2009,12362,"Belgium",1,130,130
489448,01-12-2009,15413,"United Kingdom",48,2.12,101.76
489448,01-12-2009,15413,"United Kingdom",48,3.39,162.72
489448,01-12-2009,15413,"United Kingdom",48,4.25,204
489448,01-12-2009,15413,"United Kingdom",48,2.12,101.76
489450,01-12-2009,16321,"Australia",12,2.95,35.4
489450,01-12-2009,16321,"Australia",6,1.65,9.9
489450,01-12-2009,16321,"Australia",4,4.25,17
489450,01-12-2009,16321,"Australia",6,2.1,12.6
489450,01-12-2009,16321,"Australia",12,2.95,35.4
489450,01-12-2009,16321,"Australia",12,1.25,15
489450,01-12-2009,16321,"Australia",12,1.25,15
489450,01-12-2009,16321,"Australia",24,0.85,20.4
489450,01-12-2009,16321,"Australia",12,2.95,35.4
489460,01-12-2009,16167,"United Kingdom",8,6.75,54
489460,01-12-2009,16167,"United Kingdom",24,0.55,13.2
489460,01-12-2009,16167,"United Kingdom",24,0.55,13.2
489460,01-12-2009,16167,"United Kingdom",6,2.95,17.7
489460,01-12-2009,16167,"United Kingdom",6,2.95,17.7
489460,01-12-2009,16167,"United Kingdom",4,6.75,27
489460,01-12-2009,16167,"United Kingdom",3,5.95,17.85
489460,01-12-2009,16167,"United Kingdom",8,1.65,13.2
489460,01-12-2009,16167,"United Kingdom",576,0.21,120.96
489460,01-12-2009,16167,"United Kingdom",8,6.75,54
489460,01-12-2009,16167,"United Kingdom",3,4.95,14.85
489460,01-12-2009,16167,"United Kingdom",3,4.95,14.85
489460,01-12-2009,16167,"United Kingdom",4,6.75,27
489460,01-12-2009,16167,"United Kingdom",12,1.65,19.8
489460,01-12-2009,16167,"United Kingdom",288,0.21,60.48
489461,01-12-2009,17865,"United Kingdom",24,1.25,30
489461,01-12-2009,17865,"United Kingdom",24,1.25,30
489461,01-12-2009,17865,"United Kingdom",24,1.25,30
489461,01-12-2009,17865,"United Kingdom",24,1.25,30
489461,01-12-2009,17865,"United Kingdom",24,1.25,30
489461,01-12-2009,17865,"United Kingdom",24,1.25,30
489461,01-12-2009,17865,"United Kingdom",3,5.95,17.85
489461,01-12-2009,17865,"United Kingdom",48,1.25,60
489461,01-12-2009,17865,"United Kingdom",6,2.95,17.7
489461,01-12-2009,17865,"United Kingdom",6,2.95,17.7
489461,01-12-2009,17865,"United Kingdom",12,1.45,17.4
489461,01-12-2009,17865,"United Kingdom",12,1.45,17.4
489461,01-12-2009,17865,"United Kingdom",12,1.45,17.4
489461,01-12-2009,17865,"United Kingdom",12,1.45,17.4
489461,01-12-2009,17865,"United Kingdom",12,2.1,25.2
489461,01-12-2009,17865,"United Kingdom",6,2.1,12.6
489461,01-12-2009,17865,"United Kingdom",6,2.55,15.3
489461,01-12-2009,17865,"United Kingdom",6,2.95,17.7
489461,01-12-2009,17865,"United Kingdom",2,7.95,15.9
489461,01-12-2009,17865,"United Kingdom",3,5.95,17.85
489461,01-12-2009,17865,"United Kingdom",24,0.55,13.2
489461,01-12-2009,17865,"United Kingdom",24,0.55,13.2
489461,01-12-2009,17865,"United Kingdom",2,9.95,19.9
489461,01-12-2009,17865,"United Kingdom",27,1.49,40.23
489461,01-12-2009,17865,"United Kingdom",6,2.95,17.7
489461,01-12-2009,17865,"United Kingdom",6,2.95,17.7
489462,01-12-2009,17592,"United Kingdom",3,4.25,12.75
489462,01-12-2009,17592,"United Kingdom",3,4.25,12.75
489462,01-12-2009,17592,"United Kingdom",3,4.25,12.75
489462,01-12-2009,17592,"United Kingdom",3,4.25,12.75
489462,01-12-2009,17592,"United Kingdom",3,4.25,12.75
489462,01-12-2009,17592,"United Kingdom",3,4.25,12.75
489462,01-12-2009,17592,"United Kingdom",3,4.25,12.75
489462,01-12-2009,17592,"United Kingdom",3,3.75,11.25
489462,01-12-2009,17592,"United Kingdom",3,3.75,11.25
489462,01-12-2009,17592,"United Kingdom",3,3.75,11.25
489462,01-12-2009,17592,"United Kingdom",3,2.1,6.3
489462,01-12-2009,17592,"United Kingdom",3,2.1,6.3
489462,01-12-2009,17592,"United Kingdom",2,6.35,12.7
489465,01-12-2009,13767,"United Kingdom",12,4.95,59.4
489465,01-12-2009,13767,"United Kingdom",12,4.95,59.4
489465,01-12-2009,13767,"United Kingdom",12,4.95,59.4
489465,01-12-2009,13767,"United Kingdom",12,4.95,59.4
489465,01-12-2009,13767,"United Kingdom",12,4.95,59.4
489465,01-12-2009,13767,"United Kingdom",4,14.95,59.8
489465,01-12-2009,13767,"United Kingdom",12,5.95,71.4
489465,01-12-2009,13767,"United Kingdom",64,2.55,163.2
489465,01-12-2009,13767,"United Kingdom",20,2.95,59
489465,01-12-2009,13767,"United Kingdom",8,2.1,16.8
489465,01-12-2009,13767,"United Kingdom",8,2.1,16.8
489465,01-12-2009,13767,"United Kingdom",8,2.1,16.8
489465,01-12-2009,13767,"United Kingdom",12,2.1,25.2
489465,01-12-2009,13767,"United Kingdom",4,6.75,27
489465,01-12-2009,13767,"United Kingdom",12,3.95,47.4
489465,01-12-2009,13767,"United Kingdom",8,2.95,23.6
489465,01-12-2009,13767,"United Kingdom",24,4.25,102
489465,01-12-2009,13767,"United Kingdom",4,9.95,39.8
489465,01-12-2009,13767,"United Kingdom",160,1.45,232
489488,01-12-2009,17238,"United Kingdom",1,4.65,4.65
489488,01-12-2009,17238,"United Kingdom",1,2.95,2.95
489488,01-12-2009,17238,"United Kingdom",1,2.95,2.95
489488,01-12-2009,17238,"United Kingdom",2,5.95,11.9
489488,01-12-2009,17238,"United Kingdom",2,2.95,5.9
489488,01-12-2009,17238,"United Kingdom",3,3.45,10.35
489488,01-12-2009,17238,"United Kingdom",1,3.75,3.75
489488,01-12-2009,17238,"United Kingdom",2,3.75,7.5
489488,01-12-2009,17238,"United Kingdom",2,1.65,3.3
489488,01-12-2009,17238,"United Kingdom",2,4.25,8.5
489488,01-12-2009,17238,"United Kingdom",3,1.25,3.75
489488,01-12-2009,17238,"United Kingdom",1,1.25,1.25
489488,01-12-2009,17238,"United Kingdom",2,2.1,4.2
489488,01-12-2009,17238,"United Kingdom",1,5.95,5.95
489488,01-12-2009,17238,"United Kingdom",3,1.95,5.85
489488,01-12-2009,17238,"United Kingdom",4,0.85,3.4
489488,01-12-2009,17238,"United Kingdom",3,0.85,2.55
489488,01-12-2009,17238,"United Kingdom",5,2.95,14.75
489488,01-12-2009,17238,"United Kingdom",4,3.75,15
489488,01-12-2009,17238,"United Kingdom",4,3.75,15
489488,01-12-2009,17238,"United Kingdom",2,2.55,5.1
489488,01-12-2009,17238,"United Kingdom",3,2.55,7.65
489488,01-12-2009,17238,"United Kingdom",6,0.85,5.1
489488,01-12-2009,17238,"United Kingdom",4,1.25,5
489488,01-12-2009,17238,"United Kingdom",6,2.1,12.6
489488,01-12-2009,17238,"United Kingdom",4,4.25,17
489488,01-12-2009,17238,"United Kingdom",2,8.95,17.9
489488,01-12-2009,17238,"United Kingdom",2,8.95,17.9
489488,01-12-2009,17238,"United Kingdom",2,12.75,25.5
489488,01-12-2009,17238,"United Kingdom",2,1.95,3.9
489505,01-12-2009,15712,"United Kingdom",6,3.75,22.5
489505,01-12-2009,15712,"United Kingdom",10,1.95,19.5
489505,01-12-2009,15712,"United Kingdom",10,5.95,59.5
489505,01-12-2009,15712,"United Kingdom",5,4.65,23.25
489505,01-12-2009,15712,"United Kingdom",10,1.95,19.5
489505,01-12-2009,15712,"United Kingdom",6,4.95,29.7
489505,01-12-2009,15712,"United Kingdom",6,2.95,17.7
489505,01-12-2009,15712,"United Kingdom",4,8.5,34
489505,01-12-2009,15712,"United Kingdom",3,4.95,14.85
489505,01-12-2009,15712,"United Kingdom",4,3.75,15
489514,01-12-2009,15311,"United Kingdom",72,1.06,76.32
489514,01-12-2009,15311,"United Kingdom",36,2.55,91.8
489514,01-12-2009,15311,"United Kingdom",24,4.25,102
489514,01-12-2009,15311,"United Kingdom",24,2.75,66
489514,01-12-2009,15311,"United Kingdom",8,8.5,68
489514,01-12-2009,15311,"United Kingdom",32,1.25,40
489514,01-12-2009,15311,"United Kingdom",10,5.95,59.5
489514,01-12-2009,15311,"United Kingdom",8,10.95,87.6
489514,01-12-2009,15311,"United Kingdom",8,3.95,31.6
489514,01-12-2009,15311,"United Kingdom",50,1.65,82.5
489514,01-12-2009,15311,"United Kingdom",1,1.25,1.25
489514,01-12-2009,15311,"United Kingdom",5,2.95,14.75
489514,01-12-2009,15311,"United Kingdom",2,1.25,2.5
489514,01-12-2009,15311,"United Kingdom",1,2.1,2.1
489514,01-12-2009,15311,"United Kingdom",3,1.45,4.35
489514,01-12-2009,15311,"United Kingdom",2,1.25,2.5
489514,01-12-2009,15311,"United Kingdom",2,1.25,2.5
489514,01-12-2009,15311,"United Kingdom",3,2.1,6.3
489514,01-12-2009,15311,"United Kingdom",2,2.1,4.2
489514,01-12-2009,15311,"United Kingdom",3,0.85,2.55
489514,01-12-2009,15311,"United Kingdom",2,1.25,2.5
489514,01-12-2009,15311,"United Kingdom",2,1.25,2.5
489514,01-12-2009,15311,"United Kingdom",3,2.1,6.3
489514,01-12-2009,15311,"United Kingdom",2,1.69,3.38
489514,01-12-2009,15311,"United Kingdom",5,2.1,10.5
489514,01-12-2009,15311,"United Kingdom",2,3.75,7.5
489514,01-12-2009,15311,"United Kingdom",2,2.95,5.9
489514,01-12-2009,15311,"United Kingdom",1,7.95,7.95
489514,01-12-2009,15311,"United Kingdom",2,4.65,9.3
489514,01-12-2009,15311,"United Kingdom",3,3.75,11.25
489514,01-12-2009,15311,"United Kingdom",3,1.69,5.07
489514,01-12-2009,15311,"United Kingdom",3,0.85,2.55
489517,01-12-2009,16329,"United Kingdom",1,1.65,1.65
489517,01-12-2009,16329,"United Kingdom",1,3.75,3.75
489517,01-12-2009,16329,"United Kingdom",1,3.75,3.75
489517,01-12-2009,16329,"United Kingdom",2,2.95,5.9
489517,01-12-2009,16329,"United Kingdom",1,3.75,3.75
489517,01-12-2009,16329,"United Kingdom",1,2.95,2.95
489517,01-12-2009,16329,"United Kingdom",12,0.65,7.8
489517,01-12-2009,16329,"United Kingdom",6,0.85,5.1
489517,01-12-2009,16329,"United Kingdom",20,1.65,33
489517,01-12-2009,16329,"United Kingdom",1,1.25,1.25
489517,01-12-2009,16329,"United Kingdom",1,3.75,3.75
489517,01-12-2009,16329,"United Kingdom",6,1.25,7.5
489517,01-12-2009,16329,"United Kingdom",4,0.85,3.4
489517,01-12-2009,16329,"United Kingdom",1,1.95,1.95
489517,01-12-2009,16329,"United Kingdom",1,1.95,1.95
489517,01-12-2009,16329,"United Kingdom",1,1.65,1.65
489517,01-12-2009,16329,"United Kingdom",12,3.75,45
489517,01-12-2009,16329,"United Kingdom",12,3.75,45
489517,01-12-2009,16329,"United Kingdom",1,1.95,1.95
489517,01-12-2009,16329,"United Kingdom",12,2.95,35.4
489517,01-12-2009,16329,"United Kingdom",1,1.25,1.25
489517,01-12-2009,16329,"United Kingdom",1,2.95,2.95
489517,01-12-2009,16329,"United Kingdom",6,0.85,5.1
489517,01-12-2009,16329,"United Kingdom",12,0.65,7.8
489517,01-12-2009,16329,"United Kingdom",1,3.75,3.75
489517,01-12-2009,16329,"United Kingdom",1,3.75,3.75
489517,01-12-2009,16329,"United Kingdom",2,5.95,11.9
489517,01-12-2009,16329,"United Kingdom",1,2.55,2.55
489517,01-12-2009,16329,"United Kingdom",1,0.65,0.65
489517,01-12-2009,16329,"United Kingdom",1,2.55,2.55
489517,01-12-2009,16329,"United Kingdom",1,1.95,1.95
489517,01-12-2009,16329,"United Kingdom",1,1.25,1.25
489517,01-12-2009,16329,"United Kingdom",1,0.85,0.85
489517,01-12-2009,16329,"United Kingdom",1,3.75,3.75
489517,01-12-2009,16329,"United Kingdom",1,1.25,1.25
489517,01-12-2009,16329,"United Kingdom",1,2.95,2.95
489517,01-12-2009,16329,"United Kingdom",4,1.69,6.76
489517,01-12-2009,16329,"United Kingdom",4,1.25,5
489519,01-12-2009,17700,"United Kingdom",12,2.95,35.4
489519,01-12-2009,17700,"United Kingdom",32,2.55,81.6
489519,01-12-2009,17700,"United Kingdom",6,2.95,17.7
489519,01-12-2009,17700,"United Kingdom",6,2.55,15.3
489519,01-12-2009,17700,"United Kingdom",4,3.75,15
489519,01-12-2009,17700,"United Kingdom",3,5.95,17.85
489519,01-12-2009,17700,"United Kingdom",3,5.95,17.85
489519,01-12-2009,17700,"United Kingdom",3,5.95,17.85
489519,01-12-2009,17700,"United Kingdom",3,5.95,17.85
489519,01-12-2009,17700,"United Kingdom",12,0.65,7.8
489519,01-12-2009,17700,"United Kingdom",12,1.25,15
489519,01-12-2009,17700,"United Kingdom",6,1.65,9.9
489519,01-12-2009,17700,"United Kingdom",6,1.95,11.7
489519,01-12-2009,17700,"United Kingdom",6,2.1,12.6
489519,01-12-2009,17700,"United Kingdom",6,2.1,12.6
489519,01-12-2009,17700,"United Kingdom",3,5.95,17.85
489519,01-12-2009,17700,"United Kingdom",4,6.75,27
489519,01-12-2009,17700,"United Kingdom",6,2.55,15.3
489519,01-12-2009,17700,"United Kingdom",6,2.1,12.6
489519,01-12-2009,17700,"United Kingdom",12,1.69,20.28
489519,01-12-2009,17700,"United Kingdom",12,0.85,10.2
489519,01-12-2009,17700,"United Kingdom",12,0.85,10.2
489519,01-12-2009,17700,"United Kingdom",12,1.25,15
489519,01-12-2009,17700,"United Kingdom",8,3.75,30
489519,01-12-2009,17700,"United Kingdom",6,2.95,17.7
489519,01-12-2009,17700,"United Kingdom",5,3.95,19.75
489519,01-12-2009,17700,"United Kingdom",4,6.75,27
489519,01-12-2009,17700,"United Kingdom",4,3.75,15
489519,01-12-2009,17700,"United Kingdom",2,4.25,8.5
489519,01-12-2009,17700,"United Kingdom",6,2.95,17.7
489519,01-12-2009,17700,"United Kingdom",6,2.95,17.7
489519,01-12-2009,17700,"United Kingdom",2,5.95,11.9
489519,01-12-2009,17700,"United Kingdom",2,5.95,11.9
489519,01-12-2009,17700,"United Kingdom",2,8.5,17
489519,01-12-2009,17700,"United Kingdom",3,7.95,23.85
489519,01-12-2009,17700,"United Kingdom",6,2.95,17.7
489519,01-12-2009,17700,"United Kingdom",2,6.95,13.9
489519,01-12-2009,17700,"United Kingdom",2,6.35,12.7
489520,01-12-2009,14911,"EIRE",12,0.75,9
489520,01-12-2009,14911,"EIRE",12,1.25,15
489520,01-12-2009,14911,"EIRE",8,3.95,31.6
489520,01-12-2009,14911,"EIRE",6,2.1,12.6
489520,01-12-2009,14911,"EIRE",2,6.75,13.5
489520,01-12-2009,14911,"EIRE",2,6.75,13.5
489520,01-12-2009,14911,"EIRE",2,6.75,13.5
489520,01-12-2009,14911,"EIRE",36,1.45,52.2
489520,01-12-2009,14911,"EIRE",3,4.95,14.85
489520,01-12-2009,14911,"EIRE",6,2.55,15.3
489520,01-12-2009,14911,"EIRE",10,1.65,16.5
489520,01-12-2009,14911,"EIRE",10,1.65,16.5
489520,01-12-2009,14911,"EIRE",6,5.95,35.7
489520,01-12-2009,14911,"EIRE",4,9.95,39.8
489520,01-12-2009,14911,"EIRE",12,1.45,17.4
489520,01-12-2009,14911,"EIRE",6,2.1,12.6
489520,01-12-2009,14911,"EIRE",12,2.1,25.2
489520,01-12-2009,14911,"EIRE",4,12.75,51
489520,01-12-2009,14911,"EIRE",54,2.55,137.7
489520,01-12-2009,14911,"EIRE",6,2.95,17.7
489520,01-12-2009,14911,"EIRE",4,3.75,15
489520,01-12-2009,14911,"EIRE",10,0.85,8.5
489520,01-12-2009,14911,"EIRE",12,1.69,20.28
489520,01-12-2009,14911,"EIRE",12,0.85,10.2
489520,01-12-2009,14911,"EIRE",6,2.95,17.7
489520,01-12-2009,14911,"EIRE",6,2.95,17.7
489520,01-12-2009,14911,"EIRE",3,5.95,17.85
489520,01-12-2009,14911,"EIRE",3,4.95,14.85
489520,01-12-2009,14911,"EIRE",12,1.25,15
489520,01-12-2009,14911,"EIRE",12,2.95,35.4
489522,01-12-2009,15998,"United Kingdom",3,0.42,1.26
489522,01-12-2009,15998,"United Kingdom",1,9.95,9.95
489522,01-12-2009,15998,"United Kingdom",1,4.65,4.65
489522,01-12-2009,15998,"United Kingdom",2,3.75,7.5
489522,01-12-2009,15998,"United Kingdom",6,0.85,5.1
489522,01-12-2009,15998,"United Kingdom",4,3.45,13.8
489522,01-12-2009,15998,"United Kingdom",1,5.49,5.49
489522,01-12-2009,15998,"United Kingdom",1,2.1,2.1
489522,01-12-2009,15998,"United Kingdom",2,4.95,9.9
489522,01-12-2009,15998,"United Kingdom",1,3.75,3.75
489522,01-12-2009,15998,"United Kingdom",1,3.95,3.95
489522,01-12-2009,15998,"United Kingdom",1,3.95,3.95
489522,01-12-2009,15998,"United Kingdom",6,1.95,11.7
489522,01-12-2009,15998,"United Kingdom",2,1.95,3.9
489522,01-12-2009,15998,"United Kingdom",1,1.25,1.25
489522,01-12-2009,15998,"United Kingdom",1,1.25,1.25
489522,01-12-2009,15998,"United Kingdom",1,1.25,1.25
489522,01-12-2009,15998,"United Kingdom",3,1.25,3.75
489522,01-12-2009,15998,"United Kingdom",3,1.25,3.75
489522,01-12-2009,15998,"United Kingdom",3,1.25,3.75
489522,01-12-2009,15998,"United Kingdom",4,1.25,5
489522,01-12-2009,15998,"United Kingdom",36,0.21,7.56
489522,01-12-2009,15998,"United Kingdom",2,1.65,3.3
489522,01-12-2009,15998,"United Kingdom",2,1.65,3.3
